metric,mean,std,min,p25,median,p75,max
acf_returns_1,0.010015312015705468,0.045256170857072286,-0.08534189587613213,-0.022502299285291797,0.01220399617703874,0.040745837317532,0.1493001881551656
acf_abs_returns_1,-0.00694331767693088,0.0404970387686151,-0.11357708652060511,-0.0331142106319108,-0.008314922038229526,0.021909174928355042,0.08855378908478995
acf_squared_returns_1,-0.005257937520704231,0.042351202441304824,-0.11862145812264618,-0.03189317873570029,-0.008021486207072891,0.021170635439746996,0.11756664670489389
return_kurtosis,-0.2222656361916893,0.18545301943115589,-0.6337077421313961,-0.35967578637593567,-0.2386386534557876,-0.0914289040674734,0.4532424266183819
return_skewness,0.039906654864758015,0.09390511947274906,-0.16587505154424842,-0.02881139043786488,0.036844143298981454,0.09783625354298307,0.37407914682263965
return_p01,-0.06797871486577621,0.0049557212047652835,-0.08170295251379933,-0.07114703284690044,-0.06814952117283297,-0.06447004966201565,-0.05768291076064669
return_p05,-0.04992121541614258,0.0031576765308623947,-0.05803056661399851,-0.05197677398277985,-0.04997947690453281,-0.047765012141684084,-0.041976776444272154
return_p95,0.05082730638101946,0.002736208049843787,0.04442500737896296,0.04914158068111652,0.050957751567652636,0.052584245347086694,0.05927132848986281
return_p99,0.06976225973294177,0.004220738107869836,0.05880039014648334,0.06635330637863458,0.06976331780957015,0.07288854725871066,0.08003764661721774
extreme_negative_1pct,0.009999999999999998,6.956306463039096e-18,0.01,0.01,0.01,0.01,0.01
extreme_negative_5pct,0.05,3.478153231519548e-17,0.05,0.05,0.05,0.05,0.05
liquidation_concentration_top10,0.9434410761336366,0.21783676260425003,0.0,0.9998926141439429,1.0,1.0,1.0000000000000002
corr_liq_negative_return,0.26125551408880554,0.10316331005800206,-0.04033964547835955,0.18048094686882865,0.2715886155194673,0.342314523710148,0.44310187829200887
corr_margin_negative_return,0.23197860081273938,0.08786134924551181,0.02767185866729527,0.16495960067575052,0.2345442705955057,0.29362573764529,0.4511716448020351
